"","IBNR","CL","ODP","EV","DP"
"93",7616,7905.5,7865.98238473644,7832.18867468082,8212.54951973636
"94",8498,7184,7158.13197965415,7175.88261078675,7471.92017445545
"95",7783,7756,7721.720007409,7730.84294675937,7845.26696775147
"96",8643,8832,8781.6783168798,8738.84483862586,9261.20152503892
"97",8047,8541.5,8514.91285678354,8490.62115430993,8885.31824270461
"98",8194,7655.5,7622.8529855969,7638.11663546663,7880.94948335534
"99",6726,6775.5,6741.05418405063,6725.78374933055,7121.99264881674
"100",7274,7916,7887.52723048383,7887.2711603874,8189.82587798677
"101",8123,7832,7802.75629034921,7793.77124417266,8258.94410372269
"102",8636,8005.5,7997.71022920484,7958.8402538318,8459.15729024254
"103",7844,8006,7976.67457197696,7941.04002636669,8285.24315885201
"104",8865,7652.5,7596.47899981822,7595.92002745309,8035.86522335665
"105",7161,7027.5,7009.66466949815,7007.71288092036,7167.80041307032
"106",8174,7707,7671.50563552301,7653.75079385087,8115.57285353062
"107",8185,7455,7455.88920767818,7461.17071754688,7799.22110848144
"108",7896,7299,7268.07172711205,7263.53456952779,7478.23852087075
"109",7613,7810,7795.41840409384,7804.42362139411,8030.92032507706
"110",7526,8184.5,8127.37927434764,8164.14281278296,8298.39413775046
"111",7657,8225,8215.26950760638,8181.54388014787,8485.83014004288
"112",7050,8835.5,8776.08888996089,8763.55832585656,8805.82547576455
"113",8066,7171.5,7147.13721721139,7137.32467357353,7350.29567475459
"114",7988,8644.5,8617.99792414102,8606.9108178039,8996.33549224656
"115",8091,7955.5,7893.55612526822,7886.50595127563,8410.8202578181
"116",7269,7736,7730.27997622749,7730.20284823688,7827.72354238401
"117",7837,8160,8125.68203627359,8115.97666055658,8457.38346811008
"118",6896,7413,7386.11091945068,7363.56865064019,7448.18944313529
"119",7270,7580,7551.0722763671,7528.4046991311,7828.61385660572
"120",7920,7446.5,7416.35694011207,7417.98577294814,7921.38772825876
"121",7386,8317,8275.88309115037,8228.821055514,8550.19423861976
"122",8546,8034.5,7998.16680641458,7975.16895404847,8357.63464171696
"123",8193,7899.5,7853.14812434584,7834.56088378212,8214.01785775018
"124",8873,7959.5,7910.14636289687,7874.03662965467,8207.36283442591
"125",8624,7990,7986.3761084181,7955.5140905267,8203.60645824599
"126",7595,7210,7194.8759541176,7171.83819038854,7402.76593737513
"127",7294,7739.5,7702.99108347146,7698.66968237551,7945.92722407663
"128",9807,8139.5,8142.01181868357,8150.51650148523,8557.14897934709
"129",8746,8158.5,8169.43994448678,8130.68810949735,8622.28694745966
"130",9213,7854,7814.18511383503,7797.78399960068,8211.67579368511
"131",6893,7328.5,7299.22779503315,7298.42421231683,7616.08860797229
